"","rank","Team","Index","conference","division","color","logo","rating"
"37",37,"Boise State",0.394430593480936,"Mountain West","Mountain","#09347A","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png",5.71924360547357
"38",38,"Purdue",0.386794642788892,"Big Ten","West","#B89D29","http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png",5.60852232043893
"39",39,"Wake Forest",0.374200937077543,"ACC","Atlantic","#9E7E38","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png",5.42591358762437
"40",40,"Nebraska",0.372252058195649,"Big Ten","West","#F20017","http://a.espncdn.com/i/teamlogos/ncaa/500/158.png",5.39765484383691
"41",41,"SMU",0.371627878601017,"American Athletic","West","#E32F38","http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png",5.38860423971475
"42",42,"Ole Miss",0.362042768678439,"SEC","West","#001148","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png",5.24962014583737
"43",43,"Washington",0.334406741597746,"Pac-12","North","#2B2F64","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png",4.84889775316732
"44",44,"Miami",0.319516731203142,"ACC","Coastal","#004325","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png",4.63299260244556
"45",45,"Georgia State",0.301599214265055,"Sun Belt","West","#1e539a","http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png",4.3731886068433
"46",46,"Baylor",0.298101788771156,"Big 12",NA,"#004834","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png",4.32247593718176
"47",47,"Air Force",0.280330727246417,"Mountain West","Mountain","#004a7b","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png",4.06479554507305
"48",48,"Tulane",0.259086442395383,"American Athletic","West","#005837","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png",3.75675341473305
"49",49,"Florida State",0.256813442315218,"ACC","Atlantic","#782F40","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png",3.72379491357066
"50",50,"Oregon State",0.233011088998546,"Pac-12","North","#c34500","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png",3.37866079047892
"51",51,"Toledo",0.228918191178981,"Mid-American","West","#00488F","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png",3.31931377209522
"52",52,"Houston",0.222179849345232,"American Athletic","West","#C90822","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png",3.22160781550586
"53",53,"Army",0.220365481417022,"FBS Independents",NA,"#ce9c00","http://a.espncdn.com/i/teamlogos/ncaa/500/349.png",3.19529948054682
"54",54,"Western Michigan",0.202145146881623,"Mid-American","West","#B59966","http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png",2.93110462978353
"55",55,"South Carolina",0.195738249064563,"SEC","East","#670010","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png",2.83820461143616
"56",56,"Tulsa",0.151194272251759,"American Athletic","West","#004371","http://a.espncdn.com/i/teamlogos/ncaa/500/202.png",2.19231694765051
"57",57,"Kansas State",0.128116039700691,"Big 12",NA,"#633194","http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png",1.85768257566002
"58",58,"Iowa State",0.124441397412862,"Big 12",NA,"#660015","http://a.espncdn.com/i/teamlogos/ncaa/500/66.png",1.8044002624865
"59",59,"Liberty",0.105863619826088,"FBS Independents",NA,"#071740","http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png",1.53502248747828
"60",60,"Maryland",0.0412944551285693,"Big Ten","East","#D5002B","http://a.espncdn.com/i/teamlogos/ncaa/500/120.png",0.598769599364255
"61",61,"Troy",0.0339364551788611,"Sun Belt","East","#AE0210","http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png",0.492078600093486
"62",62,"Coastal Carolina",0.0268974378044636,"Sun Belt","West","#007073","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png",0.390012848164722
"63",63,"Western Kentucky",0.0147428002406043,"Conference USA","East","#F32026","http://a.espncdn.com/i/teamlogos/ncaa/500/98.png",0.213770603488762
"64",64,"UCLA",0.0120840299949528,"Pac-12","South","#005C8E","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png",0.175218434926816
"65",65,"Missouri",-0.0085986283714037,"SEC","East","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png",-0.124680111385354
"66",66,"Syracuse",-0.0296608251749669,"ACC","Atlantic","#F37321","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png",-0.43008196503702
"67",67,"USC",-0.0305780632370766,"Pac-12","South","#AE2531","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png",-0.443381916937611
"68",68,"Louisiana",-0.0424043882452365,"Sun Belt","East","#ce2842","http://a.espncdn.com/i/teamlogos/ncaa/500/309.png",-0.614863629555929
"69",69,"Texas Tech",-0.0541006319829225,"Big 12",NA,"#C80025","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png",-0.784459163752376
"70",70,"Northwestern",-0.0604736715942492,"Big Ten","West","#372286","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png",-0.876868238116613
"71",71,"San Diego State",-0.0676577851353495,"Mountain West","West","#BF2C37","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png",-0.981037884462568
"72",72,"UT San Antonio",-0.075495496596106,"Conference USA","West","#002A5C","http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png",-1.09468470064354
"73",73,"Virginia Tech",-0.0794790198507082,"ACC","Coastal","#74232D","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png",-1.15244578783527
"74",74,"West Virginia",-0.0959801478964402,"Big 12",NA,"#FFC600","http://a.espncdn.com/i/teamlogos/ncaa/500/277.png",-1.39171214449838
"75",75,"Virginia",-0.0984159471220589,"ACC","Coastal","#00204e","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png",-1.42703123326985
"76",76,"Indiana",-0.111881009438636,"Big Ten","East","#7D110C","http://a.espncdn.com/i/teamlogos/ncaa/500/84.png",-1.62227463686022
"77",77,"Miami (OH)",-0.169312133882942,"Mid-American","East","#a4000c","http://a.espncdn.com/i/teamlogos/ncaa/500/193.png",-2.45502594130266
"78",78,"South Florida",-0.172517504391916,"American Athletic","East","#004A36","http://a.espncdn.com/i/teamlogos/ncaa/500/58.png",-2.50150381368278
"79",79,"Memphis",-0.17541415532436,"American Athletic","West","#002447","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png",-2.54350525220322
"80",80,"Northern Illinois",-0.175846815360779,"Mid-American","West","#F1122C","http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png",-2.5497788227313
"81",81,"Kent State",-0.190685624631195,"Mid-American","East","#002445","http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png",-2.76494155715233
"82",82,"Southern Mississippi",-0.205316571328163,"Sun Belt","East","#FFAA3C","http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png",-2.97709028425836
"83",83,"Marshall",-0.210337395738625,"Sun Belt","West","#186329","http://a.espncdn.com/i/teamlogos/ncaa/500/276.png",-3.04989223821006
"84",84,"Georgia Southern",-0.214487699661494,"Sun Belt","West","#003775","http://a.espncdn.com/i/teamlogos/ncaa/500/290.png",-3.11007164509166
